# Moment bins 
# bins        : 3
# start       : 4.262203e-03
# end         : 5.000496e-01
# delta       : 1.652625e-01
# direction   : (0.000000e+00 0.000000e+00 1.000000e+00)
# x co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	1.695247e-01	3.347871e-01	5.000496e-01
#
# Time        	0:(total_x total_y total_z)	0:(pressure_x pressure_y pressure_z)	0:(viscous_x viscous_y viscous_z)	1:(total_x total_y total_z)	1:(pressure_x pressure_y pressure_z)	1:(viscous_x viscous_y viscous_z)	2:(total_x total_y total_z)	2:(pressure_x pressure_y pressure_z)	2:(viscous_x viscous_y viscous_z)
0.0375        	(-1.793743e-05 -2.370490e-05 -1.959302e-08)	(-1.793283e-05 -2.368607e-05 -1.574186e-08)	(-4.592204e-09 -1.883017e-08 -3.851167e-09)	(-1.149442e-06 4.464390e-07 -1.724647e-08)	(-1.164301e-06 -8.063791e-07 -1.490580e-08)	(1.485895e-08 1.252818e-06 -2.340667e-09)	(-1.430340e-08 8.217569e-06 -3.078260e-08)	(2.938346e-09 5.870435e-07 -2.479888e-11)	(-1.724175e-08 7.630526e-06 -3.075780e-08)
0.04          	(1.768714e-05 -2.856666e-05 2.205784e-08)	(1.768310e-05 -2.854412e-05 1.954474e-08)	(4.038214e-09 -2.254165e-08 2.513097e-09)	(1.372440e-06 4.642354e-07 4.928236e-08)	(1.369037e-06 -8.223623e-07 1.730176e-08)	(3.403075e-09 1.286598e-06 3.198060e-08)	(-1.506761e-08 8.736554e-06 3.045670e-08)	(7.564382e-10 5.962287e-07 3.865148e-11)	(-1.582404e-08 8.140325e-06 3.041805e-08)
0.04          	(1.768714e-05 -2.856666e-05 2.205784e-08)	(1.768310e-05 -2.854412e-05 1.954474e-08)	(4.038214e-09 -2.254165e-08 2.513097e-09)	(1.372440e-06 4.642354e-07 4.928236e-08)	(1.369037e-06 -8.223623e-07 1.730176e-08)	(3.403075e-09 1.286598e-06 3.198060e-08)	(-1.506761e-08 8.736554e-06 3.045670e-08)	(7.564382e-10 5.962287e-07 3.865148e-11)	(-1.582404e-08 8.140325e-06 3.041805e-08)
0.0425        	(-2.025136e-05 -2.078062e-05 -2.223967e-08)	(-2.024588e-05 -2.075923e-05 -1.870568e-08)	(-5.486956e-09 -2.139063e-08 -3.533986e-09)	(-1.396508e-06 7.247015e-07 -2.022499e-08)	(-1.401816e-06 -6.077584e-07 -1.734954e-08)	(5.308004e-09 1.332460e-06 -2.875457e-09)	(-1.529207e-08 9.320014e-06 -3.196051e-08)	(1.119007e-09 6.272905e-07 -4.378898e-11)	(-1.641108e-08 8.692724e-06 -3.191672e-08)
0.0425        	(-2.025136e-05 -2.078062e-05 -2.223967e-08)	(-2.024588e-05 -2.075923e-05 -1.870568e-08)	(-5.486956e-09 -2.139063e-08 -3.533986e-09)	(-1.396508e-06 7.247015e-07 -2.022499e-08)	(-1.401816e-06 -6.077584e-07 -1.734954e-08)	(5.308004e-09 1.332460e-06 -2.875457e-09)	(-1.529207e-08 9.320014e-06 -3.196051e-08)	(1.119007e-09 6.272905e-07 -4.378898e-11)	(-1.641108e-08 8.692724e-06 -3.191672e-08)
0.045         	(2.578087e-05 -2.413384e-05 2.362274e-08)	(2.577438e-05 -2.411165e-05 2.077159e-08)	(6.482994e-09 -2.218627e-08 2.851142e-09)	(1.572896e-06 2.302702e-07 5.332601e-08)	(1.561214e-06 -1.148747e-06 1.884105e-08)	(1.168246e-08 1.379017e-06 3.448496e-08)	(-1.594101e-08 9.902646e-06 3.796803e-08)	(-3.170090e-10 6.493627e-07 4.441885e-11)	(-1.562400e-08 9.253283e-06 3.792361e-08)
0.045         	(2.578087e-05 -2.413384e-05 2.362274e-08)	(2.577438e-05 -2.411165e-05 2.077159e-08)	(6.482994e-09 -2.218627e-08 2.851142e-09)	(1.572896e-06 2.302702e-07 5.332601e-08)	(1.561214e-06 -1.148747e-06 1.884105e-08)	(1.168246e-08 1.379017e-06 3.448496e-08)	(-1.594101e-08 9.902646e-06 3.796803e-08)	(-3.170090e-10 6.493627e-07 4.441885e-11)	(-1.562400e-08 9.253283e-06 3.792361e-08)
0.0475        	(-1.929265e-05 -1.764269e-05 -1.799689e-08)	(-1.929016e-05 -1.762304e-05 -1.604993e-08)	(-2.485820e-09 -1.965268e-08 -1.946959e-09)	(-1.180049e-06 -1.978909e-07 -1.423541e-08)	(-1.188416e-06 -1.616044e-06 -1.503154e-08)	(8.367177e-09 1.418153e-06 7.961255e-10)	(-1.298789e-08 1.043002e-05 -1.893030e-08)	(2.121077e-09 6.438442e-07 -2.808607e-11)	(-1.510897e-08 9.786173e-06 -1.890222e-08)
0.0475        	(-1.929265e-05 -1.764269e-05 -1.799689e-08)	(-1.929016e-05 -1.762304e-05 -1.604993e-08)	(-2.485820e-09 -1.965268e-08 -1.946959e-09)	(-1.180049e-06 -1.978909e-07 -1.423541e-08)	(-1.188416e-06 -1.616044e-06 -1.503154e-08)	(8.367177e-09 1.418153e-06 7.961255e-10)	(-1.298789e-08 1.043002e-05 -1.893030e-08)	(2.121077e-09 6.438442e-07 -2.808607e-11)	(-1.510897e-08 9.786173e-06 -1.890222e-08)
0.05          	(2.372169e-05 -2.076574e-05 -2.788378e-09)	(2.371379e-05 -2.074663e-05 -1.022438e-09)	(7.903236e-09 -1.911276e-08 -1.765940e-09)	(1.508405e-06 4.342067e-07 1.073986e-09)	(1.501126e-06 -1.004106e-06 -1.339475e-09)	(7.279224e-09 1.438313e-06 2.413461e-09)	(-1.713067e-08 1.100187e-05 -1.275011e-08)	(-1.303733e-09 6.647801e-07 1.576899e-12)	(-1.582694e-08 1.033709e-05 -1.275169e-08)
