Run #, bx, kx, w, fx, ky, fy, 1-PFA-1-1, 1-RMSA-1-1, 1-PFD-1-1, 1-PID-1-1, 1-PFA-2-1, 1-RMSA-2-1, 1-PFD-2-1, 1-PID-2-1, 1-PFA-3-1, 1-RMSA-3-1, 1-PFD-3-1, 1-PID-3-1, 1-PFA-4-1, 1-RMSA-4-1, 1-PFD-4-1, 1-PID-4-1, 1-PFA-5-1, 1-RMSA-5-1, 1-PFD-5-1, 1-PID-5-1, 1-PFA-6-1, 1-RMSA-6-1, 1-PFD-6-1, 1-PID-6-1, 1-PFA-7-1, 1-RMSA-7-1, 1-PFD-7-1, 1-PID-7-1, 1-PFA-8-1, 1-RMSA-8-1, 1-PFD-8-1, 1-PID-8-1, 1-PFA-9-1, 1-RMSA-9-1, 1-PFD-9-1, 1-PID-9-1
282, 0.116976, 71.6186, 1029.1, 7.09346, 109.199, 11.0831, 2.85895, 0.286715, 0.729635, 0.00506691, 0.740914, 0.263611, 0.839006, 0.00109634, 0.72704, 0.251827, 0.945069, 0.000854419, 0.762923, 0.25596, 1.04481, 0.000842408, 0.902622, 0.30101, 1.12609, 0.000656697, 0.793615, 0.287203, 1.19745, 0.000545961, 0.78062, 0.283953, 1.26313, 0.000513702, 0.766138, 0.28527, 1.30931, 0.000410745, 0.962327, 0.348892, 1.33889, 0.000248635
283, 0.193765, 88.4495, 968.61, 5.18994, 94.443, 13.7643, 2.82739, 0.237021, 0.482605, 0.00335142, 0.655014, 0.246832, 0.546383, 0.000532592, 0.723799, 0.249279, 0.591407, 0.00036897, 0.559903, 0.229746, 0.627405, 0.00031929, 0.622536, 0.188891, 0.653211, 0.000331436, 0.487035, 0.183704, 0.667916, 0.00035469, 0.542488, 0.201814, 0.685011, 0.000341783, 0.713883, 0.241493, 0.706582, 0.000258599, 0.859133, 0.287796, 0.718092, 0.000168874
284, 0.0927771, 100.621, 967.046, 8.85776, 97.7165, 13.6975, 2.85604, 0.0522441, 0.109211, 0.000758413, 0.170153, 0.0417878, 0.121376, 0.000104152, 0.182657, 0.044072, 0.133093, 9.29987e-05, 0.174965, 0.0437077, 0.142761, 9.26237e-05, 0.153301, 0.044018, 0.150928, 8.32052e-05, 0.186801, 0.0441337, 0.156975, 7.31522e-05, 0.176706, 0.0440696, 0.161504, 6.10352e-05, 0.135264, 0.0475326, 0.164896, 5.41352e-05, 0.213367, 0.0551966, 0.167177, 3.70732e-05
285, 0.175022, 113.664, 945.002, 3.30333, 100.029, 15.7824, 2.79727, 0.259525, 0.526263, 0.00365461, 0.672507, 0.252632, 0.607393, 0.00076652, 0.643159, 0.215915, 0.667976, 0.000513718, 0.659329, 0.209718, 0.704629, 0.000356834, 0.646994, 0.191653, 0.737664, 0.000338474, 0.778073, 0.199993, 0.765682, 0.000269064, 0.556381, 0.196533, 0.787451, 0.000202923, 0.724964, 0.229103, 0.802065, 0.000168335, 0.803414, 0.240623, 0.809538, 0.000121436
286, 0.201323, 114.37, 1013.16, 8.0271, 119.504, 15.1457, 2.677, 0.0831584, 0.114204, 0.000793082, 0.231206, 0.0670899, 0.122685, 8.52799e-05, 0.194636, 0.076205, 0.131919, 7.83382e-05, 0.230312, 0.0667777, 0.140414, 8.41593e-05, 0.208266, 0.0728998, 0.147173, 8.20582e-05, 0.193697, 0.0629587, 0.152663, 7.32251e-05, 0.170829, 0.0675786, 0.156312, 6.88797e-05, 0.170572, 0.0629836, 0.160735, 6.54738e-05, 0.263495, 0.0868973, 0.165798, 4.20544e-05
287, 0.199822, 52.2291, 1078.71, 9.86593, 139.376, 13.0088, 2.42661, 0.169836, 0.342077, 0.00237553, 0.400818, 0.150991, 0.404227, 0.000509111, 0.389164, 0.139443, 0.456859, 0.000460447, 0.415113, 0.171281, 0.502905, 0.000403191, 0.41478, 0.146138, 0.537479, 0.000361946, 0.445342, 0.161251, 0.556129, 0.000334361, 0.475267, 0.179833, 0.563559, 0.000354194, 0.43819, 0.128718, 0.56238, 0.000272946, 0.504009, 0.192023, 0.570177, 0.000187664
288, 0.2455, 90.8807, 989.169, 9.42277, 101.432, 15.8712, 2.8188, 0.0527669, 0.120127, 0.000834215, 0.176411, 0.0433545, 0.135315, 0.000132765, 0.162267, 0.0429959, 0.149041, 0.000127278, 0.152232, 0.0446501, 0.160879, 0.000118718, 0.148187, 0.047913, 0.172782, 0.000106932, 0.150242, 0.0512895, 0.184003, 9.7376e-05, 0.149618, 0.0506102, 0.192556, 8.1425e-05, 0.164081, 0.0520433, 0.199695, 6.51999e-05, 0.222152, 0.060011, 0.204137, 4.37305e-05
289, 0.229462, 117.701, 1035.21, 7.79889, 121.543, 14.4273, 2.60747, 0.0832208, 0.114528, 0.000795335, 0.242922, 0.0685519, 0.121878, 8.57673e-05, 0.206418, 0.0762924, 0.130965, 7.54848e-05, 0.227624, 0.0670708, 0.139219, 8.56895e-05, 0.237462, 0.0734333, 0.145827, 7.48989e-05, 0.172767, 0.0629665, 0.151262, 7.65003e-05, 0.168396, 0.0680243, 0.155505, 7.26172e-05, 0.178418, 0.0634947, 0.161926, 6.62873e-05, 0.255358, 0.0878059, 0.167401, 4.04473e-05
290, 0.199714, 87.5024, 1071.82, 9.85879, 102.787, 14.2299, 2.57979, 0.0503831, 0.123098, 0.000854847, 0.172977, 0.0442684, 0.144389, 0.000149254, 0.159121, 0.0490671, 0.163203, 0.000150122, 0.164335, 0.0518976, 0.178331, 0.000134787, 0.142637, 0.0502644, 0.193487, 0.000127231, 0.149155, 0.0504368, 0.207264, 0.000118644, 0.165749, 0.0543929, 0.22128, 0.000101244, 0.179563, 0.0579126, 0.232381, 7.84693e-05, 0.217759, 0.0651843, 0.237785, 4.82273e-05
291, 0.164265, 137.263, 972.123, 7.41401, 109.056, 9.79605, 3.02901, 0.120312, 0.12006, 0.000833751, 0.33142, 0.116947, 0.12301, 9.08142e-05, 0.320325, 0.107505, 0.129389, 8.21852e-05, 0.268435, 0.106265, 0.137458, 8.6793e-05, 0.25982, 0.109473, 0.143979, 8.2414e-05, 0.291427, 0.106121, 0.149216, 8.46055e-05, 0.317168, 0.0956141, 0.15836, 8.75272e-05, 0.29917, 0.0963348, 0.164139, 7.44998e-05, 0.41468, 0.141263, 0.167277, 5.27451e-05
